               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.7479,            0.037718,                   0,           0.0029427,             0.28896,           0.0021754,          0.00047258,              4.5465,            0.040888,                   0,              0.0919,              0.0009,              0.0009
                   1,              3.9658,            0.043487,                   0,             0.11645,            0.087662,            0.049579,            0.016353,              3.6762,            0.048462,                   0,              0.0829,              0.0019,              0.0019
                   2,              3.1369,            0.050819,                   0,             0.42256,             0.19481,             0.17443,            0.053751,              3.2759,            0.055204,                   0,              0.0739,              0.0029,              0.0029
                   3,              2.6797,            0.054456,                   0,             0.60763,             0.20455,             0.22826,            0.067558,              3.1496,            0.053251,                   0,              0.0649,           0.0038999,           0.0038999
                   4,               2.459,            0.055404,                   0,             0.62441,             0.17045,             0.20248,            0.058538,              3.1638,             0.05086,                   0,              0.0559,           0.0048998,           0.0048998
                   5,              2.2707,            0.055464,                   0,             0.71226,             0.12662,             0.18529,              0.0525,              3.3791,            0.046453,                   0,              0.0469,           0.0058996,           0.0058996
                   6,              2.1563,            0.055791,                   0,             0.52264,            0.074675,             0.14525,            0.040651,              2.9216,            0.049847,                   0,            0.037899,           0.0068994,           0.0068994
                   7,              2.1555,            0.054768,                   0,           0.0062677,             0.79058,             0.05054,            0.011894,              2.6314,            0.050938,                   0,            0.028899,           0.0078991,           0.0078991
                   8,              2.0613,            0.053643,                   0,            0.006435,             0.81169,              0.1364,            0.033026,              2.5592,            0.050415,                   0,            0.019899,           0.0088986,           0.0088986
                   9,              1.9819,            0.052635,                   0,           0.0065537,              0.8263,             0.28907,            0.089318,              2.5711,            0.047452,                   0,            0.010898,            0.009898,            0.009898
                  10,               1.954,            0.050723,                   0,           0.0047748,             0.60227,            0.013982,           0.0031261,               3.272,            0.038499,                   0,           0.0099976,           0.0099976,           0.0099976
                  11,              1.9346,            0.050088,                   0,           0.0070013,             0.88312,             0.30617,            0.092671,              2.4436,            0.045869,                   0,           0.0099976,           0.0099976,           0.0099976
                  12,              1.9155,            0.049414,                   0,           0.0062291,             0.78571,             0.25557,            0.064949,              2.7055,            0.044416,                   0,            0.009997,            0.009997,            0.009997
                  13,              1.9745,            0.047007,                   0,           0.0065603,             0.81169,             0.25288,            0.058396,              2.5018,            0.044904,                   0,           0.0099965,           0.0099965,           0.0099965
                  14,              1.9092,            0.047263,                   0,           0.0057272,              0.7224,             0.13784,            0.026866,              2.6707,            0.042973,                   0,           0.0099959,           0.0099959,           0.0099959
                  15,              1.8568,            0.047808,                   0,           0.0068983,             0.87013,             0.27026,            0.060165,              2.5242,            0.042249,                   0,           0.0099952,           0.0099952,           0.0099952
                  16,              1.8246,            0.046772,                   0,           0.0065894,             0.83117,             0.39797,             0.11509,              3.1713,            0.034999,                   0,           0.0099945,           0.0099945,           0.0099945
                  17,              1.8239,            0.046916,                   0,           0.0074646,             0.94156,             0.58383,             0.17967,              2.1945,            0.044099,                   0,           0.0099937,           0.0099937,           0.0099937
                  18,               1.784,            0.046243,                   0,           0.0073521,             0.90097,             0.53133,             0.14774,              2.2879,             0.04306,                   0,           0.0099929,           0.0099929,           0.0099929
                  19,              1.7843,            0.045547,                   0,            0.010459,              0.6461,             0.15651,            0.029812,               2.719,            0.039942,                   0,           0.0099921,           0.0099921,           0.0099921
                  20,              1.8953,            0.044343,                   0,            0.016126,             0.69805,             0.24896,            0.060759,              2.3948,            0.043866,                   0,           0.0099912,           0.0099912,           0.0099912
                  21,              1.7357,            0.045445,                   0,            0.016587,             0.85065,             0.47177,             0.13689,              2.0498,            0.046036,                   0,           0.0099902,           0.0099902,           0.0099902
                  22,              1.7351,            0.045768,                   0,            0.020001,             0.76623,             0.35437,             0.08769,              2.1786,            0.045598,                   0,           0.0099892,           0.0099892,           0.0099892
                  23,              1.7708,            0.044604,                   0,            0.011427,             0.28084,            0.057972,            0.010421,              3.3627,            0.034609,                   0,           0.0099882,           0.0099882,           0.0099882
                  24,              1.6945,            0.045932,                   0,            0.044481,             0.56818,              0.2829,             0.05438,              2.6709,            0.039022,                   0,           0.0099871,           0.0099871,           0.0099871
                  25,              1.7207,             0.04472,                   0,            0.026994,             0.72078,             0.43056,             0.12193,              2.2745,            0.043411,                   0,           0.0099859,           0.0099859,           0.0099859
                  26,              1.7769,            0.044223,                   0,            0.016935,             0.60877,             0.23372,            0.060515,              2.7445,            0.039403,                   0,           0.0099847,           0.0099847,           0.0099847
                  27,              1.7368,             0.04422,                   0,            0.054734,             0.78084,             0.53643,             0.15051,              2.2714,            0.041723,                   0,           0.0099835,           0.0099835,           0.0099835
                  28,              1.7695,            0.042654,                   0,            0.025248,             0.76786,             0.44981,              0.1279,              2.2776,            0.041941,                   0,           0.0099822,           0.0099822,           0.0099822
                  29,              1.7062,            0.043306,                   0,             0.06096,             0.67045,             0.36506,            0.088955,              2.4411,            0.039969,                   0,           0.0099809,           0.0099809,           0.0099809
                  30,              1.6742,            0.043486,                   0,             0.11324,             0.81818,             0.50763,             0.18704,               1.909,            0.043512,                   0,           0.0099795,           0.0099795,           0.0099795
                  31,              1.7047,            0.042832,                   0,            0.074996,             0.80682,             0.53098,             0.19419,              1.8805,             0.04733,                   0,            0.009978,            0.009978,            0.009978
                  32,              1.6854,            0.044128,                   0,            0.052837,             0.79058,             0.48928,             0.15585,                 2.1,            0.043098,                   0,           0.0099765,           0.0099765,           0.0099765
                  33,              1.6595,             0.04335,                   0,            0.078105,             0.82955,             0.52647,             0.16543,              2.1431,            0.040904,                   0,            0.009975,            0.009975,            0.009975
                  34,              1.6624,              0.0434,                   0,            0.082011,             0.68831,             0.39731,             0.09887,              2.2493,            0.041634,                   0,           0.0099734,           0.0099734,           0.0099734
                  35,              1.7238,            0.042186,                   0,            0.073513,              0.6737,             0.39928,            0.098723,              2.4612,            0.038939,                   0,           0.0099718,           0.0099718,           0.0099718
                  36,              1.6642,            0.042631,                   0,               0.151,             0.81169,              0.5135,             0.18738,              1.9097,            0.043462,                   0,           0.0099701,           0.0099701,           0.0099701
                  37,              1.6352,            0.042558,                   0,             0.18967,              0.7776,             0.53757,             0.17573,              1.9589,            0.041869,                   0,           0.0099684,           0.0099684,           0.0099684
